Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.5974613773374824 <
0,0,0,1,0.7000000000000001 
0,0,1,0,0.29424423383069953 < 
0,0,1,1,0.4
0,1,0,0,0.55
0,1,0,1,0.65
0,1,1,0,0.1
0,1,1,1,0.2
0,2,0,0,0.4
0,2,0,1,0.5
0,2,1,0,0.1
0,2,1,1,0.2
1,0,0,0,0.24894224055728434 < 
1,0,0,1,0.2
1,0,1,0,0.5037967769700171 > 
1,0,1,1,0.45
1,1,0,0,0.3
1,1,0,1,0.25
1,1,1,0,0.4
1,1,1,1,0.35
1,2,0,0,0.4
1,2,0,1,0.35
1,2,1,0,0.3
1,2,1,1,0.25
2,0,0,0,0.15359638210523333 >
2,0,0,1,0.1
2,0,1,0,0.20195898919928332 >
2,0,1,1,0.15
2,1,0,0,0.15
2,1,0,1,0.1
2,1,1,0,0.5
2,1,1,1,0.45
2,2,0,0,0.2
2,2,0,1,0.15
2,2,1,0,0.6
2,2,1,1,0.55
