Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.5974613773374824
0,0,0,1,0.7000000000000001
0,0,1,0,0.2922737118196179
0,0,1,1,0.394217647254929
0,1,0,0,0.55
0,1,0,1,0.65
0,1,1,0,0.1
0,1,1,1,0.2
0,2,0,0,0.4
0,2,0,1,0.5
0,2,1,0,0.1
0,2,1,1,0.2
1,0,0,0,0.24894224055728434
1,0,0,1,0.19999999999999998
1,0,1,0,0.5004229040984672
1,0,1,1,0.4579507350244724
1,1,0,0,0.3
1,1,0,1,0.25
1,1,1,0,0.4
1,1,1,1,0.35
1,2,0,0,0.4
1,2,0,1,0.35
1,2,1,0,0.3
1,2,1,1,0.25
2,0,0,0,0.15359638210523333
2,0,0,1,0.09999999999999999
2,0,1,0,0.20730338408191476
2,0,1,1,0.14783161772059839
2,1,0,0,0.15
2,1,0,1,0.1
2,1,1,0,0.5
2,1,1,1,0.45
2,2,0,0,0.2
2,2,0,1,0.15
2,2,1,0,0.6
2,2,1,1,0.55
