Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.6
0,0,0,1,0.7000000000000001
0,0,1,0,0.3
0,0,1,1,0.4
0,1,0,0,0.55
0,1,0,1,0.65
0,1,1,0,0.1
0,1,1,1,0.2
0,2,0,0,0.4
0,2,0,1,0.1262911489501394
0,2,1,0,0.1
0,2,1,1,0.0002114457639791917
1,0,0,0,0.25
1,0,0,1,0.19999999999999998
1,0,1,0,0.5
1,0,1,1,0.45
1,1,0,0,0.3
1,1,0,1,0.25
1,1,1,0,0.4
1,1,1,1,0.35
1,2,0,0,0.4
1,2,0,1,0.08840380426509759
1,2,1,0,0.3
1,2,1,1,0.00026430720497398947
2,0,0,0,0.15
2,0,0,1,0.09999999999999999
2,0,1,0,0.2
2,0,1,1,0.15
2,1,0,0,0.15
2,1,0,1,0.1
2,1,1,0,0.5
2,1,1,1,0.45
2,2,0,0,0.2
2,2,0,1,0.7853050467847631
2,2,1,0,0.6
2,2,1,1,0.9995242470310468
